symbol,timestamp,open,high,low,close,volume
AAPL,2026-01-15T14:00:00Z,99.95,100.10,99.90,100.00,1000
AAPL,2026-01-15T14:01:00Z,99.97,100.12,99.92,100.02,1000
AAPL,2026-01-15T14:02:00Z,99.99,100.14,99.94,100.04,1000
AAPL,2026-01-15T14:03:00Z,100.01,100.16,99.96,100.06,1000
AAPL,2026-01-15T14:04:00Z,100.03,100.18,99.98,100.08,1000
AAPL,2026-01-15T14:05:00Z,100.05,100.20,100.00,100.10,1000
AAPL,2026-01-15T14:06:00Z,100.07,100.22,100.02,100.12,1000
AAPL,2026-01-15T14:07:00Z,100.09,100.24,100.04,100.12,1000
AAPL,2026-01-15T14:08:00Z,100.11,100.26,100.06,100.16,1000
AAPL,2026-01-15T14:09:00Z,100.13,100.28,100.08,100.18,1000
AAPL,2026-01-15T14:10:00Z,100.15,100.30,100.10,100.20,1000
AAPL,2026-01-15T14:11:00Z,100.17,100.32,100.12,100.22,1000
AAPL,2026-01-15T14:12:00Z,100.19,100.34,100.14,100.24,1000
AAPL,2026-01-15T14:13:00Z,100.21,100.36,100.16,100.26,1000
AAPL,2026-01-15T14:14:00Z,100.23,100.38,100.18,100.28,1000
AAPL,2026-01-15T14:15:00Z,100.25,100.40,100.20,100.30,1000
AAPL,2026-01-15T14:16:00Z,100.27,100.42,100.22,100.32,1000
AAPL,2026-01-15T14:17:00Z,100.29,100.44,100.24,100.34,1000
AAPL,2026-01-15T14:18:00Z,100.31,100.46,100.26,100.36,1000
AAPL,2026-01-15T14:19:00Z,100.35,100.50,100.30,100.40,25000
AAPL,2026-01-15T14:20:00Z,100.35,100.50,100.30,100.40,25000
AAPL,2026-01-15T14:21:00Z,100.35,100.50,100.30,100.40,25000
